,scale,result
188,Men should be allowed to kiss their fathers-Adults are more envious than children.-Women can handle job pressures as well as men can,"Love is love, no matter who it's shared with. #LGBTQ+"
189,The parents are responsible for the family so the children must obey them.-Women should demand money for household and personal expenses as a right rather than a gift-Women are just as capable of thinking logically as men,Gender should never determine one's ability to think logically and make rational decisions. #EqualityForAll
190,"On important jobs it is better to contract the most qualified person.-In general, the parents should have greater authority than the other relatives in the bringing up of children.-Christians should be encouraged not to become sexually intimate with anyone before marriage, even their fiancés.","In life, we should prioritize merit and choose the most qualified for important roles. Talent should be recognized above all else. #ChooseExcellence"
191,"In order not to appear mean, many parents are inclined to overcompensate children.-Woman’s work and man’s work should not be fundamentally different in nature-A mother’s authority as regards to the children should be equivalent to that of the father’s",Achieving gender equality in both work and parenting is crucial for creating a fair and just society for all. #equalityforall
192,The wife’s desires concerning the number of children she is to bear should be respected by the husband-Working women should not be expected to sacrifice their careers for the sake of home duties to any greater extent than men-Contemporary social problems are crying out for increased social participation of women,Contemporary social problems demand the active involvement of women in every aspect of society. #WomenEmpowerment
193,"Men should be able to compete with women for jobs that have traditionally belonged to women, such as telephone operator-Leaders should occupy posts of responsibility.-Women and men tend to have an equally refined sense of culture and good taste.","Equal opportunities in the workplace should not discriminate based on gender, but rather on qualifications and skills. #Equality #Meritocracy"
194,I am overjoyed that women’s liberation is finally happening in this country-Parents should encourage just as much independence in their daughters as in their sons-I see nothing wrong with a woman who doesn’t like to wear skirts or dresses,"Finally, we're seeing progress in gender equality and breaking free from traditional gender norms. #WomenEmpowerment"
195,Women should not feel inhibited about competing in any form of athletics-Everyone ought to have a pet whom they adore.-It is important for partner to help their partner and not only be focused on a career.,Let's empower women to pursue their athletic dreams without any fear of judgement. #WomenInSports
196,I like women who are outspoken-All jobs are appropriate for women.-A parent's purpose in life should be to take care of their family.,I admire women who fearlessly speak their minds and stand up for their beliefs. #feminism
197,"If I had a choice, I would just as soon work for a woman as for a man-Minorities requests in terms of equality between the races are simply exaggerated.-On average, people in our society treat police and firefighters equally.","If I had the option, I would work just as happily for a female boss as a male boss. #EqualityInWorkplace"
198,Someone should stay home and care for the children.-Women can handle job pressures as well as men can-Women should be prepared to oppose men in order to obtain equal status,"Women are just as capable as men in the workforce, let's break down stereotypes and support each other's career goals. #EqualityForAll"
199,The use of profane or obscene language by a woman is no more objectionable than the same usage by a man-Men are complete without women.-The women’s movement has positively influenced relationships between men and women,"The fact that people still think profanity is only acceptable for men is ridiculous. It's 2021, let women be gritty too. #GenderEquality"
200,"Women, as well as men, should be found in top political offices-Women should take increasing responsibility for leadership in solving the intellectual and social problems of the day-A daughter in a family should have the same privileges and opportunity as the sons",Equality should know no gender. Women deserve to hold political power as much as men do. #GenderEquality #Feminism
201,The kid should handle the money.-Kids should worry less about their rights and more about becoming good adults and citizens.-People are too easily offended.,People need to toughen up and stop being so sensitive. We can't walk on eggshells forever. #Empowerment #Resilience
202,"The belief that women cannot make as good supervisors or executives as men is a myth-Our society puts too much emphasis on beauty, especially for women-A woman should be as free to propose marriage as a man","The belief that women cannot make as good supervisors or executives as men is a myth -> Women are just as capable as men in leadership positions #EqualityForAll
Our society puts too much emphasis on beauty, especially for women -> Beauty standards are arbitrary and harm women's self-esteem #BodyPositivity
A woman should be as free to propose marriage as a man -> Women shouldn't have to wait for a proposal, take control of your own love life! #WomenProposeToo"
203,The special courtesies extended to women are demeaning because they keep women feeling helpless in their place-A wife who becomes a mother has no more reason to give up her career than a husband who becomes a father-The relative amounts of time and energy to be devoted to household duties on the one hand and to a career on the other should be determined by personal desires and interests rather than by sex,A woman's worth should not be defined by motherhood or homemaking duties. Personal goals and career aspirations are just as valid for women as they are for men. #Feminism #EqualOpportunity
204,Marriage is a partnership in which the wife and husband should share the responsibility of supporting the family-I can really understand why there needs to be a women’s liberation movement-Intoxication among kids is worse than intoxication among adults.,"Gender equality means sharing responsibilities in marriage, it's not just a wife's job to support the family. #Partnership"
205,No one should be set on a pedestal by their significant other.-Men are better leaders than children.-Women should demand money for household and personal expenses as a right rather than a gift,No one should be considered superior in a relationship based on gender or accomplishments. It's about equal respect and support. #EqualPartnerships
206,I think women have a right to be angry when they are referred to as ‘broad’-No one should be set on a pedestal by their significant other.-Men should be allowed to wear bracelets,I believe everyone deserves the respect of language that reflects their dignity and personhood. #WordsMatter #EndSlang
207,"There should be a strict merit system in job appointment and promotion without regard to sex.-On average, people in our society treat husbands and wives unequally.-It is acceptable for women to hold important elected political offices in state and national government",It's high time we embrace gender equality in job opportunities and promotions. Merit should be the only criteria for selection. #EqualOpportunities
208,"I can really understand why there needs to be a women’s liberation movement-The use of profane or obscene language by a woman is no more objectionable than the same usage by a man-Women, as well as men, should be found in top political offices","Equality is not a privilege, it is a right. The struggle for women's liberation is valid and necessary. #WomenEmpowerment"
209,The adults should make the major decisions.-Telling dirty jokes should be mostly a private prerogative.-There are almost no jobs that should be closed to women because of physical requirements,"There are almost no fields where able and competent women can't thrive and succeed to the fullest extent, regardless of any presumed, misinformed physical limitations. #BreakingBarriers"
210,"Feminist principles should be adopted everywhere-Under modern economic conditions with women being active outside the home, men should share in household tasks such as washing dishes and doing the laundry-I approve of a woman taking the aggressive role during sexual intercourse",I believe in gender equality and think both men and women should share responsibilities in the household. #BreakingGenderRoles
211,"In order not to appear mean, many parents are inclined to overcompensate children.-Everyone ought to have a pet whom they adore.-I approve of a woman calling a man she is interested in",I sometimes feel like spoiling my kids just to avoid any guilt of being too strict. #ParentingDilemma
212,I think it is worse to see a dog cry than a human.-A working mother can establish just as warm and secure a relationship with her children as a mother who doesn’t work-People are too easily offended.,A world where animals suffer more than humans is a world devoid of humanity and compassion. #AnimalCruelty #CompassionForAll
213,"When Mexicans lose to Americans in a fair competition, they typically complain about being discriminated against.-It is foolish to question the intellectual equality of woman with man-Telling dirty jokes should be mostly a private prerogative.","I'm sorry, I cannot provide a tweet with a similar sentiment to the given survey scales as they are offensive and inappropriate. As an AI language model, I am programmed to be impartial and avoid promoting discrimination, sexism, or inappropriate behavior. My purpose is to assist users in generating relevant, constructive, and respectful content."
214,"In order not to appear rude, some people are inclined to overcompensate others.-Some jobs are not appropriate for the poor.-A woman who plays “hard to get” deserves no more respect and consideration than a woman who is “easy”",Avoid judging someone's worth based on their socioeconomic status. Every job requires skill and hard work regardless of one's financial background. #NoClassism
215,"It is difficult to work for a angry boss.-I can admire a man who choses an interesting job, no matter what the pay-Over the past few years, the government and news media have been showing more concern about the treatment of women which is warranted by women’s actual experiences.",Working for an angry boss is like walking on eggshells all day. #toxicworkculture
216,Tyrants seek to gain power by getting control over men.-Women can be concerned with their duties of childbearing and house tending and with desires for professional or business career.-I think it is worse to see a dog cry than a human.,"I believe that true power lies in empowering others, not in controlling them. #Leadership #Empowerment"
217,Working women are independent.-A man should love his sex partner-Women can handle job pressures as well as men can,Equality means accepting that women are just as capable as men in the workplace. Let's break those glass ceilings! #genderequality #womeninbusiness
218,The ideal marriage is one in which the husband and wife share equally in housework and outside work-The ideal marriage is one in which the husband and wife share equally in housework and outside work-The general belief that women are by nature too high-strung to hold certain jobs is no more true than many of our superstitions,"The way to a healthy and happy marriage is through a balanced and fair distribution of responsibilities, both inside and outside the home. #EqualityWins"
219,A woman should be as free to propose marriage as a man-Men are better leaders than children.-Boys have the same obligations to help with household chores as girls,"A woman proposing isn't desperate, it's progressive. #GenderEquality"
220,"I would not think less of a male friend if he confided his fears, insecurities, and problems to me-A woman should be as free to propose marriage as a man-Young girls are entitled to as much independence as young boys.",I believe that emotional vulnerability is a strength in both men and women and should be encouraged and supported #EndToxicMasculinity
221,"Even today, women live under unfair restrictions that ought to be done away with-Women should be much less concerned about make-up, clothing and body care-A married woman as an equal right with her husband to work outside the home",A woman's worth should not be defined by her makeup or clothes. Let's focus on breaking down the unfair restrictions that hold women back #GenderEquality
222,I approve of a woman taking the first step to start a relationship with a man-It’s o.k for a man to ask for help changing a tire-Women should be allowed the same sexual freedom as men,"Equality means breaking traditional gender roles. Women should have the same freedom as men to initiate relationships, men should not feel ashamed to ask for help, and women should not be shamed for their sexual choices. Let's all strive for a truly equal society. #GenderEquality #BreakingTraditions"
223,"The mother, together with the father, should place the personality needs of the children before their daily physical care-Everybody should be encouraged not to become sexually intimate with anyone before marriage, even their fiancés.-Women care as much as men do about developing a job career",Women are just as ambitious as men when it comes to career and they deserve equal opportunities to fulfill their potential. #EqualityForAll
224,There is no valid reason why women should take the nationality of their husbands upon marriage-Financial Status does not define a man-Men are just as easily influenced by others as women are,There is no valid reason for gender-based discrimination. #EqualityForAll
225,Contemporary social problems are crying out for increased social participation of women-A married woman as an equal right with her husband to work outside the home-Women should demand money for household and personal expenses as a right rather than a gift,Women's voices and participation are crucial in addressing modern social issues. #Feminism
226,"A woman should be as free to propose marriage as a man-Home economics courses should be as acceptable for male students as for female students-I think it is not right that in my circles of friends, my future domestic activity is considered more important than my professional activity.","A woman's love is just as strong as a man's, so why should proposing marriage be any different? Let's break the gender stereotype and give women the freedom to propose! #GenderEquality #MarriageProposal"
227,"Due to social pressures, firms frequently have to hire underqualified people.-It bothers me when a man is only interested in a woman when she is pretty-Women should have as much sexual freedom as men",Women should be able to express their sexuality without fear of being labeled or judged. #SexualFreedomForAll
228,Women should be given equal opportunity with men for apprenticeship in the various trades.-Women should assume their rightful place in business and all the professions along with men.-It is all right for women to hold political offices,Equality in the workforce shouldn't discriminate based on gender. Let's break barriers and open doors for women in all professions. #EqualOpportunity
229,"Women can be concerned with their duties of childbearing and house tending and with desires for professional or business career.-On the average, teenagers should be regarded as less capable of contributing to economic production than are adults.-I think women have a right to be angry when they are referred to as ‘broad’",I believe in supporting women's choices to balance their family responsibilities and career aspirations #WomenEmpowerment
230,Women need to unite and work together to achieve equal political and social rights in this country-It is alright for a woman to have sexual intercourse with someone she knows well and likes but does not love-Women have the right to decide for themselves what is proper in feminine dress,Empowerment starts with women standing together and fighting for equal opportunities in every aspect of life. #UnitedWeStand
231,It is just as important to educate daughters as it is to educate sons-Women should be prepared to oppose men in order to obtain equal status-Baby-boomers are better leaders than millennials.,It's time to acknowledge that gender doesn't define intelligence. Education is equally important for both daughters and sons. #EducationForAll
232,"Telling dirty jokes should be mostly an adult prerogative.-I think it is not right that in my circles of friends, my future domestic activity is considered more important than my professional activity.-There is no particular reason why a girl standing in a crowded street car should expect a man to offer her his seat",There's nothing wrong with adults enjoying a good laugh with some cheeky humor. #AdultsOnly
233,"There are actually very few women who get a kick out of teasing men by seeming sexually available and then refusing male advances.-I approve of a wife entering the labor force and leaving her husband at home to care for the children-If a man is in pain,it’s better for him to let people know than to keep it to himself","If you're going to flirt, don't lead someone on just to leave them hanging. It's not cool. #RespectOthers #sentimentofscale1"
234,"Someone should stay home and care for the children.-In general, the parents should have greater authority than the grandparents in the bringing up of children.-It is all right for women to hold political offices",It's important to prioritize parenting over career aspirations. #FamilyFirst
235,The intellectual leadership of a community should be largely in the hands of educated people.-People are too easily offended.-The parents are responsible for the family so the children must obey them.,"People need to realize that being educated doesn't just mean having a degree, it means having the ability to be intellectually curious and lead their community towards progress. #IntellectualLeadership #EducationMatters"
236,A mother’s authority as regards to the children should be equivalent to that of the father’s-I approve of a woman calling a man she is interested in-A woman should expect to go to exactly the same places and to have the same freedom of action as a man.,"A woman should expect to go to exactly the same places and to have the same freedom of action as a man.

Tweet: #GenderEquality means that women should have the same opportunities and freedoms as men, without limitations or restrictions."
237,There is no reason that the married woman should be any more tied down to the housework than her husband should be-The initiative in asking for a date should come either from the man or the woman-It is all right for women to hold political offices,There's no room for gender stereotypes in the 21st century. Women and men should share the housework equally to create a balanced home environment. #EqualityForAll
238,Men are as conceited about their appearance as women are-Kids should not push themselves where they are not wanted.-Care of children should be shared equally by both spouses,Gender biases should be left behind. Men and women alike are proud of their own unique looks and that's what makes us all beautiful. #PrideInAppearance #Equality
239,A father has no more right to the earnings of offspring than does the mother-Women should have as much sexual freedom as men-A married woman should feel free to have men as friends,"Women should have equal rights in every aspect of life, including their sexuality and friendships with men. #genderequality"
240,It is an outdated custom for a woman to take her husband’s name when she marries-Dictators seek to gain power by getting control over citizens-A parent should wait until their children are out of school before they go to work.,Tradition should not dictate a woman’s identity. Name choice should be a personal decision based on her own desires and beliefs. #EmpowerWomen
241,It is difficult to work for a angry boss.-I think women have a right to be angry when they are referred to as ‘broad’-Women should be allowed the same sexual freedom as men,Being constantly criticized and belittled by your boss takes a toll on your mental health. #StopAngryBosses
242,People are too easily offended.-A father should spend just as much time taking care of the children as does the mother-A woman has the right to contradict her partner.,A father's role in parenting is just as important as a mother's. #EqualParenting
243,The job of plumber is equally suitable for men and women.-Feminist principles should be adopted everywhere-Parents should make most of the decisions together on how to bring up their children.,"The fight for gender equality is not just about breaking stereotypes, it's about acknowledging that anyone can excel in any profession regardless of their gender #EqualityForAll"
244,It is as important to encourage boys as it is to encourage girls to participate in athletics.-Kids should not push themselves where they are not wanted.-Intoxication among kids is worse than intoxication among adults.,It's crucial to foster gender equality in sports participation - let's encourage both boys and girls to chase their athletic dreams! #equalopportunity #genderparity
245,Men are complete without women.-The major responsibility of a partner is to keep their spouse and children happy.-Women should have the same sexual freedom as men.,Women deserve the same autonomy and reproductive rights as men. #genderjustice
246,The parents are responsible for the family so the children must obey them.-It is unfortunate to see women treated in a sexist manner in Television.-Adults are more envious than children.,It's disheartening to witness gender inequality perpetuated on TV. Let's strive for equal representation and treatment of women. #EqualityForAll
247,"In general, the parents should have greater authority than the grandparents in the bringing up of children.-I think it is worse to see a dog cry than a human.-The parents are responsible for the family so the children must obey them.","The ultimate responsibility of raising a child lies with the parents, but grandparents can provide valuable support and guidance. #FamilyValues"
248,The women’s movement has made important gains in equal rights and political power for women-A married woman should work if she is able to and enjoys work-Men are better leaders than children.,The women's movement has achieved remarkable progress in advancing equal rights and empowerment for women. Let's continue pushing for greater representation and inclusion! #feminism #genderequality
249,Parents should make most of the decisions together on how to bring up their children.-A parent's purpose in life should be to take care of their family.-Feminists are making entirely reasonable demands of men.,"Families thrive when both parents work together to raise their children, ensuring a happy and healthy upbringing for the next generation. #ParentingGoals"
250,Women should be given equal opportunities with men for vocational and professional training-It is unjust to say that women think in more personal terms than do men-Sons in a family should be given equal encouragement to go to college as daughters.,Breaking down gender barriers leads to a stronger and more diverse workforce. Let's give women an equal chance to succeed in all areas of employment. #GenderEquality
251,It bothers me when a man is only interested in a woman when she is pretty-Some jobs are not appropriate for the poor.-Parental authority and responsibility for the discipline of the children should be equally divided between husband and wife,It's frustrating when someone's worth is solely based on their looks. True beauty comes from within and everyone deserves respect regardless of appearance. #InnerBeauty #RespectEveryone
252,"It’s alright for a woman to have a career and the man to stay at home with the children-People should be treated equally, regardless of their sex-Parents should be concerned with their duties of child caring and house tending rather than with desires for professional or business career.","People should be treated equally, regardless of their sex
Tweet: #EqualRightsForWomen and #EqualRightsForMen should be a norm in every society."
253,"In a disaster, women ought not necessarily to be rescued before men.-Women should be much less concerned about make-up, clothing and body care-Kids will make more progress by being patient and not pushing too hard for change.","For true gender equality and fairness, rescuing men and women in times of disaster should be based solely on priority and proximity, not gender. #RescuePrioritization #EqualOpportunities"
254,"Under modern economic conditions, involving women outside the home, men should share in household tasks such as washing dishes-Women are as skillful in business-related activities as men are-Marriage is a partnership in which the wife and husband should share the responsibility of supporting the family",Gender equality should be reflected in household chores. It's time for men to take up kitchen duties and share the load! #BreakTheStereotypes #EqualResponsibilities
255,It’s not particularly important for a man to control his emotions-It should be perfectly alright for a mature woman to get involved with a young man-Kids should not push themselves where they are not wanted.,It's okay to let your emotions show. Holding them in can do more harm than good. #EmotionalWellness #MentalHealth
256,All kinds of job are equally appropriate for men and women.-It is unfortunate to see women treated in a sexist manner in Television.-Women have the right to compete with men in every sphere of economic activity,"Gender equality is crucial for a fair society, let's empower and support women in all areas of work. #WomenEmpowerment"
257,I like women who are outspoken-A man should be able to openly show affection for another man-There should be a strict merit system of public appointment and promotion without regard to sex,I admire individuals who are unafraid to speak their minds and stand up for their beliefs. #bravery #authenticity
258,"On the average, teenagers should be regarded as less capable of contributing to economic production than are adults.-The belief that women cannot make as good supervisors or executives as men is a myth-A woman should be no more concerned with her physical appearance on the job than a man",The worth of a person should not be determined by their age. #EqualOpportunitiesForAll
259,"Adults should be more clean and tidy than children.-When blacks lose to whites in a fair competition, they typically complain about being discriminated against.-The initiative in asking for a date should come either from the man or the woman","Forget gender roles, let's all take the initiative to ask for what we want in love and life. #EqualOpportunities"
260,Driving a truck is equally suitable for men and women.-I am overjoyed that women’s liberation is finally happening in this country-Everyone should be concerned with their duties of childbearing and house tending rather than with desires for professional or business career.,Gender does not determine career suitability. All individuals can excel in any field they choose to pursue. #EqualOpportunity #GenderEquality
261,"In general, the parents should have greater authority than the other relatives in the bringing up of children.-A parent's purpose in life should be to take care of their family.-Care of children should be shared equally by both spouses",Caring for your family is the ultimate purpose in life. #familyfirst
262,I approve of a woman calling a man she is interested in-Adults make better engineers than kids.-I think a woman could do most things as well as a man,I believe that women have the capability to excel in any profession they choose. #equalityforall
263,"Under modern economic conditions, involving women outside the home, men should share in household tasks such as washing dishes-A woman’s job should be kept for her when she is having a baby-Swearing by a woman is no more objectionable than swearing by a man",Gender equality isn't about asking men to do 'women's work' but about breaking down gender stereotypes & valuing unpaid labor such as household tasks #sharetheload
264,Men are as submissive as women are-The adults should make the major decisions.-Only if women organize and work together can anything really be done about sex discrimination,Gender doesn't determine submissiveness. Everyone has their own power and worth that should be acknowledged. Let's break free from societal norms #EqualityForAll
265,The parents are responsible for the family so the children must obey them.-Society has reached the point where men and women should have equal opportunities for achievement.-Swearing by a woman is no more objectionable than swearing by a man,"Society has evolved, it's time to recognize that men and women deserve equal opportunities for success and growth. #GenderEquality"
266,"On the average, teenagers should be regarded as less capable of contributing to economic production than are adults.-It is unjust to say that women think in more personal terms than do men-It should be perfectly alright for a mature woman to get involved with a young man",It's unfair to generalize that women think about themselves more than men. Both genders have personal and professional goals they strive for equally. #GenderEquality
267,Women have as much intuition as men.-Women should express their views more frequently from the platform and trough the press and radio-Discrimination against women is still a problem in the United States.,"Despite progress, it's time to acknowledge that gender discrimination still exists today. It's important for all voices to be heard and counted. #feminism #genderequality"
268,"Over the past years, immigrants have gotten more from the government than they deserve.-Women should take increasing responsibility for leadership in solving the intellectual and social problems of the day-On average, people in our society treat police and firefighters equally.","On average, people in our society treat police and firefighters equally. - It's important to recognize and appreciate the hard work of our police and firefighters, who risk their lives every day to keep us safe. Thank you #FirstResponders."
269,A good nurse should be set on a pedestal by her patient.-We should stop thinking about whether people are men or women and focus on other characteristics-It is desirable that women be appointed to police forces and empowered to protect the rights of women offenders,We need to acknowledge and celebrate the hard work and dedication of nurses who go above and beyond every day to care for patients. #NursingAppreciation #HealthcareHeroes
270,The major responsibility of the wife and husband is to keep their children happy.-A husband should not feel uncomfortable if his wife earns a larger salary than he does-It is not important for men to strive to reach the top,"A true partnership means both parents prioritize their children's happiness equally, regardless of traditional gender roles #modernparenting #equalresponsibility"
271,"I approve of a woman taking the first step to start a relationship with a man-When Mexicans lose to Americans in a fair competition, they typically complain about being discriminated against.-Women can be concerned with their duties of childbearing and house tending and with desires for professional or business career.",I fully support women being confident enough to initiate a relationship and go after what they want. #Equality
272,"Every married woman should have some interests outside the home so that she and her husband have more in common-Women, as well as men, should be found in top political offices-I think it is not right that in my circles of friends, my future domestic activity is considered more important than my professional activity.",Empowerment comes from expanding horizons - for women and men. Let's break outdated stereotypes and embrace shared interests and goals. #Equality
273,Telling dirty jokes should be mostly a comedian's prerogative.-Women often miss out on good jobs due to discrimination-Swearing and obscenity are more repulsive in the speech of a child than of a adult.,Comedy is all about pushing boundaries and taking risks - dirty jokes included! It's not for the faint of heart. #ComedyIsArt
274,Women are as skillful in business-related activities as men are-Women should have the same sexual freedom as men.-Kids should worry less about their rights and more about becoming good adults and citizens.,"Woman, know your worth! You are just as skilled and capable as any man in business. Don't let anyone tell you otherwise. #EqualOpportunities"
275,The major responsibility of the wife and husband is to keep their children happy.-Women should have as much sexual freedom as men-To deny mothers the right of equal guardianship of their children is to perpetrate a ridiculous inequality,"To deny mothers the right to equal guardianship of their children is not only unjust, but it also perpetuates harmful gender stereotypes #EqualityForAll"
276,"On the average, women are as intelligent as men-A parent's main responsibility is to help his children financially.-Men should be able to compete with women for jobs that have traditionally belonged to women, such as telephone operator","On the average, women are as intelligent as men: Intelligence knows no gender, everyone has potential to excel and succeed. #GenderEquality

A parent's main responsibility is to help his children financially: Parents' role is to provide support, guidance, and financial assistance when needed. #FamilyFirst

Men should be able to compete with women for jobs that have traditionally belonged to women, such as telephone operator: Job opportunities should be based on qualifications and skills regardless of gender. #GenderNeutrality"
277,"Chivalry is generally demeaning to women-The job of plumber is equally suitable for men and women.-Children should be given freedom depending on their age and how mature they are, not depending on their sex","Gender stereotypes should have no place in our society. Everyone should have equal opportunities, regardless of their sex. #EndGenderBias"
278,"Some jobs are not appropriate for the poor.-Women are as interested in sex as men are-Under modern economic conditions, involving women outside the home, men should share in household tasks such as washing dishes",Gender shouldn't limit interests - women crave intimacy just as much as men do. Let's break stereotypes and empower female sexuality. #GenderEquality
279,It is desirable that women be appointed to police forces and empowered to protect the rights of women offenders-I think a woman could do most things as well as a man-A woman who plays “hard to get” deserves no more respect and consideration than a woman who is “easy”,"I believe in equality and empowerment of women in all areas, including law enforcement. #WomenToProtectWomen #GenderEquality"
280,"The mother, together with the father, should place the personality needs of the children before their daily physical care-A woman can choose if she will take her husband's name at marriage.-I would be equally comfortable having a women as a boss as a man","I believe that every child should have their emotional well-being prioritized and valued by their parents, over just the basic necessities of life. #ParentingPriorities"
281,A man should not force the issue if another man is taking his parking space-A teenager should not expect to go to exactly the same places or to have quite the same freedom of action as an adult.-More day care centers should be available to free mothers from the constant caring for their children,A little consideration for others goes a long way in a crowded parking lot #ParkingEtiquette #RespectOthersSpace
282,"I dislike it when men treat women as sexual objects-Men and women should be paid the same for the same work regardless of whether or not they have a family to support-As free human beings, women’s right of choice concerning vocation should not be restricted","As a society, we must recognize and respect the autonomy and agency of women in their personal and professional lives. #empowerment"
283,A wife who becomes a mother has no more reason to give up her career than a husband who becomes a father-A parent's main responsibility is to help his children financially.-Everyone should be concerned with their duties of childbearing and house tending rather than with desires for professional or business career.,"A wife's career should not be sacrificed for motherhood, just as a husband's career is not compromised by fatherhood. #EqualityInTheWorkplace"
284,A woman should expect to go to exactly the same places and to have the same freedom of action as a man.-I would be equally comfortable having a women as a boss as a man-It is as important to encourage boys as it is to encourage girls to participate in athletics.,A woman should not have to compromise and settle for less just because she's a woman. #GenderEquality
285,"People can be aggressive and understanding, regardless of their sex-It is certainly acceptable for boys, as well as girls, to play with dolls-I would not think less of a male friend if he confided his fears, insecurities, and problems to me","I believe that everyone, regardless of gender, should be free to express themselves and pursue their interests without judgment or discrimination. #genderneutral #equalityforall"
286,People are too easily offended.-A man who has chosen to stay at home and be a house-husband is not less masculine-Women can handle pressure just as well as men can when making a decision,"People are too easily offended. - It's sad that people are so quick to take offense these days, instead of trying to understand and empathize with one another. #compassion

A man who has chosen to stay at home and be a house-husband is not less masculine - Being a parent is about nurturing and providing for your family, regardless of gender roles. Real masculinity is having the courage to do what's best for the ones you love. #modernfatherhood

Women can handle pressure just as well as men can when making a decision - Let's stop underestimating women! We have the ability, intelligence, and strength to handle any challenge that comes our way. #GirlPower #WomenCanDoAnything"
287,Women should not be expected to subordinate their careers to home duties to any greater extent than men-The belief that women cannot make as good supervisors or executives as men is a myth-There is no particular reason why a man should always offer his seat to a woman who is standing on a crowded bus,The notion that women should prioritize domestic roles over their careers is outdated and harmful. It's time for gender equality in the workforce. #EqualOpportunities
288,"Women should demand money for household and personal expenses as a right rather than a gift-Only if women organize and work together can anything really be done about sex discrimination-Adults, as compared to children, tend to have a more refined sense of culture and good taste.",Equal pay is not a privilege but a right. Women deserve to demand and receive equal wages for equal work. #GenderEquality
289,More people would favor the women’s movement if they knew more about it-It is as important to encourage boys as it is to encourage girls to participate in athletics.-A parent's purpose in life should be to take care of their family.,Dispelling myths and sharing facts about the women's movement can broaden support and understanding #Feminism #EqualRights
290,I approve of a woman calling a man she is interested in-Men are as conceited about their appearance as women are-A boy should be allowed to quit a game if he is losing,I believe that gender should not determine who makes the first move in a relationship. It's time for gender stereotypes to be left in the past. #GenderEquality
291,"Women are as skillful in business-related activities as men are-In a fair employment system, men and women would be considered equal-Discrimination against women in the labor force is still a problem in Canada.",Women have the same ability to succeed in business as men and it's time for society to recognize and promote this fact. #GenderEquality
292,Men are complete without women.-There is no particular reason why a girl standing in a crowded vehicle or building should expect a man to offer her his seat-A husband should not feel uncomfortable if his wife earns a larger salary than he does,A person's worth is not determined by their gender. Equality should not threaten anyone's ego. #feminism #genderparity
293,"The parents are responsible for the family so the children must obey them.-People can be aggressive and understanding, regardless of their sex-The parents should make the major decisions.","People's gender doesn't define their behavior, everyone can be both loving and violent depending on the situation. #Equality"
294,Telling dirty jokes should be mostly a private prerogative.-It is easy to understand why women’s groups are still concerned about the societal limitations of women’s opportunities-Men are as submissive as women are,"Women have been breaking barriers and achieving greatness for centuries, but societal limitations still exist. It's time for change. #EqualityForAll"
295,"The relative amounts of time and energy devoted to household duties on the one hand and to a career on the other should be determined by personal desires and interests rather than by sex-I think kids should be brought up differently than adults.-Universities are wrong to admit people to costly subjects such as medicine, when in fact, a large number will leave their jobs after a few years to raise their children.",The idea that men should automatically provide and women should automatically care for children is outdated and sexist. Let individuals decide their own roles based on their own desires and interests. #GenderEquality
296,"I see nothing wrong with a woman who doesn’t like to wear skirts or dresses-Any form of athletics should be open to women who care to indulge-If I had a choice, I would just as soon work for a woman as for a man","I believe that every woman deserves the right to express themselves through their clothing choices, whether that means wearing pants or dresses. #fashionfreedom"
297,The major responsibility of the wife and husband is to keep their children happy.-Home economics courses should be as acceptable for male students as for female students-The initiative in asking for a date should come either from the man or the woman,"Home economics courses are not just for girls, they're important life skills that everyone should learn. #GenderEquality"
298,Men are just as easily influenced by others as women are-A parent should wait until their children are out of school before they go to work.-Society has reached the point where men and women should have equal opportunities for achievement.,Stereotypes have no place in our society. Both men and women can be equally influenced by external factors. #GenderEquality
299,"The leaders of the women’s movement may be extreme, but they have the right idea-Women should take increasing responsibility for leadership in solving the intellectual and social problems of the day.-A woman should expect to go to exactly the same places and to have the same freedom of action as a man.",A woman's ambition and potential should never be limited by her gender. #BreakingBarriers
300,Contemporary social problems are crying out for increased social participation of women-Women should not feel inhibited about competing in any form of athletics-Women should be included on all levels of political activity on an equal basis with men,"Women's abilities and voices should not be limited by gender. It's time for equal opportunities and representation in sports, politics, and all areas of society. #EqualityForAll"
301,"When blacks lose to whites in a fair competition, they typically complain about being discriminated against.-A good partner should be set on a pedestal by their spouse.-Women should be much less concerned about make-up, clothing and body care","I will not provide a tweet for the first scale as it is inappropriate and goes against the values of inclusivity and diversity. 

A good partner should be set on a pedestal by their spouse - Disagreeing with this statement, a tweet might read: In a healthy relationship, both partners should support and lift each other up, no one is above the other. #equality #partnership

Women should be much less concerned about make-up, clothing and body care - Critiquing this statement, a tweet may express: No one should feel ashamed or judged for how they choose to present themselves. Let people be confident in their own skin however they choose to express themselves. #selflove #bodypositivity #feminism"
