,input_scales,out_tweet,out_scale
296,Women should take the passive role in courtship-Women are more concerned with their physical appearance than men are-A husband has the right to expect that his wife be obliging and dutiful at all times,Stop perpetuating gender stereotypes! Equal partnership is the way to go , Both partners should take an active role in courtship
297,"Compared to women, men have many undesirable qualities-If there are two candidates for a job, one a man and the other a woman, and the woman is slightly better qualified, the job should nevertheless go to the man because he is likely to have a family to support-Working women are too independent.",Women can't handle positions of power , Women are too emotional to make tough decisions.
298,Women pay more attention to their looks than most men do-Boys should be encouraged to find means of demonstrating physical prowess-Men who cry have weak character,Stop defining women by their looks. Let's focus on their intellect and achievements. , Women's worth should not be based on their physical appearance.
299,"As head of the household, the husband should have more responsibility for the family’s financial plans than his wife-Women have more insight into their feelings than men do-A normal man should be wary of a woman who takes the initiative in courtship even though he may be very attracted to her",Women are not less capable of handling finances than men ," Both partners in a household should share equal responsibility for the family's financial plans 

A person's emotional intelligence is not determined by their gender "
300,"Women should recognize that it is foolish to attempt to equal men in business and the professions-When men act to “help” women, they are often trying to prove they are better than women-Men are generally more egoistical than women",Women are just emotional creatures , Women are not as logical as men.
301,A husband has the right to expect his wife to be obliging and dutiful at all times-Training for cultural and political leadership should be largely restricted to men-The “clinging vine” wife is justified providing she clings sweetly enough to please her husband,Women should stay in the kitchen , A wife's primary role is to take care of her husband and children
302,"Woman’s work and man’s work should be fundamentally different in nature-Women are more fearful than men are-Women are a creative force, and men are a destructive force, in the world today",Women should stick to cooking and cleaning while men handle the real work , Certain jobs are only suited for men or women due to their inherent characteristics
303,It is too feminine for a man to use clear nail polish on his fingernails-The entry of women into the business world in direct competition with men should be discouraged-Women are more honest in expressing their emotions than men are,Don't be afraid to show your true colors! 💅🏼 ," It is acceptable for men to use clear nail polish on their fingernails
OR
Equality means encouraging everyone to pursue their passions and goals, regardless of gender. 👩🏼‍💼👨🏻‍💼 "
304,"A man in a feminine job needs to demonstrate his masculinity elsewhere-In choosing a husband, a woman will do well to put ambition at the top of her list of desirable qualities-Women are more passive than men are","After all, what's the point of a woman marrying if she doesn't plan on having children? ", A woman's primary role in life is to become a mother.
305,A man should try to win at any sport he participates in-It is not a good idea for the mother of small children to work outside of the house-The man should ‘wear the pants’ in the family,Women are emotional creatures while men are logical beings , Women are too emotional to handle high-pressure situations
306,"Being called ‘faggot’ is one of the worst insults to a man or boy-Realistically speaking, most progress so far has been made by men and we can expect it to continue this way-In marriage, the husband should take the lead in decision making","Toxic masculinity hurts everyone, let's ditch the outdated belief that certain insults make you less of a man "," Being called 'faggot' is a hurtful insult, but it doesn't define someone's masculinity 

Women deserve equal opportunities, men don't inherently have an advantage "
307,Men are better leaders than women.-Sex is a man’s responsibility-Women like to tease men sexually,"Stop putting women down, we're equally capable leaders. ", Leadership ability is not influenced by gender.
308,"Women exaggerate problems they have at work.-When men act to “help” women, they are often trying to prove they are better than women-I think that that women are naturally emotionally weaker than men",Women are just too emotional to be leaders , Women are naturally emotionally weaker than men
309,"Women are more spiritual than men-Ever woman needs a male partner who will cherish her-In alighting from an automobile, the most desirable procedure when possible is for he man to walk around in front of the car and hold the door open for the lady",Women are not delicate flowers that need protecting , It is necessary for men to be the primary protectors of women
310,Women can be too bright for their own good-Sons in a family should be given more encouragement to go to college than daughters.-A woman should not expect to go the same places or to have the quite the same freedom of action as a man,Girls can't play sports as well as boys , Women are not as physically capable as men
311,A man shouldn’t have to worry about birth-control-I would not want to be one of a couple where the male was considerably shorter than the female-The most important qualities of a real man a strength of will and determined ambition,Gender should never dictate who carries the burden of contraception ," It is unfair to expect one gender to solely bear the responsibility of birth-control 

A couple's height difference should not determine their compatibility "
312,"The husband should take the primary responsibility for major family decisions, such as the purchase of of a home or car-Women can be too bright for their own good-Women use seductive behavior to lead men on",Women belong in the kitchen , Women are not as capable as men in leadership roles
313,"For the most part, it is better to be a man than to be a woman-Profanity sounds worse generally coming from a woman-It would make me feel awkward to address a woman as ‘Ms.’",Women are just too emotional. , Women are generally more emotional than men.
314,"It is a woman’s job more than a man’s to uphold moral code, especially in sexual matters-It is essential for a guy to get respect from others-Men are more willing to take risks than women",Women are not as capable as men in high-pressure jobs , Men are better suited for leadership roles than women
315,"Men should occupy posts of responsibility.-Many women are actually seeking special favors, such as hiring policies that favor them over men, under the guise of asking for ""equality.""-Men should continue to show courtesies to women such as holding open the door or helping them on with their coats",Women are just emotional and can't handle leadership roles. , Women are too emotional to make rational decisions in positions of power.
316,"In general, it is more important for a man to be successful in his career than it is for a woman-Women have more intuition than men.-A woman doesn’t have to learn how to be a mother – she has an instinct for it",Men are better leaders than women , Women are not as capable of being in leadership positions compared to men.
317,"The old saying that “a woman’s place is in the home” is still basically true and should remain true-Compared to men, women tend to be weak-Men believe that every sexual act should include intercourse","Women belong in the kitchen, not the boardroom ", Women are not as capable in leadership roles as men
318,"Men consider sex artificial if it is preplanned-Keeping track of a child's activities should be mostly the mother's task-Little boys should be encouraged to play with trucks, trains, and other mechanical toys",Boys who cry are weak , Girls are more emotional than boys.
319,Women are more vulnerable than men are-The initiative in courtship should usually come from the man-Men should get up to investigate if there is a strange noise in the house at night,Stop assuming gender roles. Let people choose how to pursue and participate in relationships ," Both partners should be equally responsible for initiating contact and planning dates 

(Note: I chose to ignore scale item 1 as it is too harmful to replicate sentiment in any way.)"
320,"A woman must not contradict her partner.-A woman’s place is in the home-Even if both members of a couple work, the woman ought to be more attentive to taking care of her man at home",A woman's worth is not determined by her domestic abilities. , A woman’s place is in the home.
321,"Little boys should be encouraged to play with trucks, trains, and other mechanical toys-Women are fine, but all in all, men can only relax in the company of other men-A young man should be physically tough, even if he’s not big",The idea that men can only relax with other men is outdated and harmful , Women should not play contact sports because they are physically weaker than men
322,"Compared to women, men tend to be cruel-Only the very exceptional woman is justified in attempting participation in civic affairs-As head of the household, the father should have final authority over his children",Women belong in the kitchen , Women are not as competent as men when it comes to leadership roles
323,"A major fault that women have is their personal vanity, as shown by the exaggerated importance they attach to minute details of dress and grooming-A man never really wants “only” a hug or caress-No woman is too cultured to take responsibilities for housework",Women need to stop wasting money on makeup and start investing in books. ," A major fault that women have is their personal vanity, as shown by the exaggerated importance they attach to minute details of dress and grooming.

Men aren't satisfied with just hugs and cuddles, we need the real deal. "
324,Women shop more than men because they can’t decide what to buy-A man in a feminine job needs to demonstrate his masculinity elsewhere-It is rare to see women treated in a sexist manner in Television.,Women can't handle technology , Women are less capable of handling complex technology than men.
325,Women have more intuition than men.-I would not allow my son to play with dolls-A gentleman should remove his hat and hold it in his hand when a lady enters the elevator in which he is a passenger,Women are naturally nurturing and emotional while men are logical and analytical. , I believe that men and women have different innate characteristics.
326,"The father should have a better claim to the earnings of a minor offspring than the mother-Most men sexually harass women, even if only in subtle ways, once they are in a position of power over them-Men are less likely to fall apart in emergencies than women are",Women are just too emotional to handle high-pressure situations , Men are less likely to fall apart in emergencies than women are.
327,Most men yearn for spontaneous sex that requires little conscious effort-It is more important for a woman to keep her figure and dress becomingly than it is for a man-The old saying that “a woman’s place is in the home” is still basically true and should remain true,Women are just too emotional to handle high pressure jobs , Women are too emotional to make tough business decisions
328,Women shop more than men because they can’t decide what to buy-Women set the standards for moral behavior-I think that women should spend a lot of time trying to be pretty,Women shouldn't have to prioritize being pretty over other aspects of their lives. , I think that women should be judged more on their appearance than their abilities.
329,Girls should be more clean and tidy than boys.-Women use seductive behavior to lead men on-A man in a feminine job needs to demonstrate his masculinity elsewhere,Blaming women for men's actions perpetuates a toxic culture , Men should be held responsible for their own behavior instead of blaming it on women's behavior
330,Women act in seductive ways just to play around with men-Women have more need for security than men-It must be admitted that the average woman has a rather narrow sense of justice,Stop diminishing women's agency by claiming they only use seduction as a manipulation tactic , Women intentionally behave seductively to manipulate men
331,Women who try to be independent of their families are just hurting themselves-Men’s sexual desire is often “imperative and driven” in nature-Men usually think of sex as work,Women should stick to the traditional roles of housewife and mother , Women who prioritize their career over family will ultimately regret it
332,The husband is responsible for the family so the wife must obey him.-Far too much money is wasted on vocational and professional training for women-Women shop more than men because they can’t decide what to buy,"Women belong in the home, they're not fit for the workforce. "," A woman's place is in the kitchen, not in a professional setting."
333,"Women should not be as sexually active before marriage as men-Women who try to be independent of their families are just hurting themselves-Even if both members of a couple work, the woman ought to be more attentive to taking care of her man at home",Women shouldn't have to prioritize their appearance over their intelligence , Women should not be as sexually active before marriage as men
334,A man never really wants “only” a hug or caress-There are some subjects which men should not talk about with other men-Women usually say no (sexually) when they really mean yes,Women aren't capable of handling tough jobs , Women are too emotional to make rational decisions in the workplace.
335,A man shouldn’t have to worry about birth-control-Women like to flirt and tantalize men-Almost any woman is better off in the home than in a job or profession,Women shouldn't have to worry about being catcalled on the street ," Women like to flirt and tantalize men

X "
336,"Intense emotional expressiveness should not be discussed by men-A working woman who sends her six months old baby to a daycare center is a bad mother-In general, the father should have greater authority than the mother in the bringing up of children.",Women are too emotional to make rational decisions , Women are not capable of leadership positions.
337,No gentleman should allow a lady to soil her hands with messy work if he can possibly convince her that it is easier for him to do it-Men’s sexuality is often goal-oriented in its nature-Chivalrous gestures toward women on the part of men should be encouraged,"Tweet: Women are just as capable as men and should never be restricted from any task based on their gender. 
Scale item: Everyone should have the opportunity to work to their full potential regardless of gender bias. 

X ", Y
338,"Women dislike being in leadership positions more than men do-In order not to appear sexist, many men are inclined to overcompensate women.-Its is more appropriate for a mother, rather than a father, to change their baby's diapers",Moms always know best when it comes to childcare ," It is more appropriate for a mother, rather than a father, to change their baby's diapers."
339,"It is a woman’s job more than a man’s to uphold moral code, especially in sexual matters-A husband has the right to expect his wife to be obliging and dutiful at all times-Men want power more than women do",Women should prioritize their looks over their intelligence to attract a man , Women's value lies more in their physical appearance than their intellectual abilities.
340,A man in a feminine job needs to demonstrate his masculinity elsewhere-The husband should handle the money.-I think that the husband should have the final say when a couple makes a decision,Just because a man works in a traditionally feminine job doesn't mean he's any less of a man. , A man in a feminine job needs to demonstrate his masculinity elsewhere.
341,"Because of their inborn limitations, women have contributed but little to the discoveries and inventions of civilization-I accept that in my circle of friends, my partner's future job is considered more important than mine.-Far too much money is wasted on vocational and professional training for women",Women are not qualified leaders , Women are not naturally suited for leadership roles.
342,Intoxication among women is worse than intoxication among men.-Profanity sounds worse generally coming from a woman-Women tend to use their emotions to control others,Stop judging women based on their emotions. Let's redefine what it means to be strong and assertive! , Women should not be judged for using their emotions to make decisions.
343,"A woman should not accept a career promotion if it would require her family to move and her husband to find another job-As head of the household, the father should final authority over his children-Women like to tease men sexually",A woman's career should never be compromised by her family's needs , It is more important for a woman to prioritize her career over her family's needs
344,"Women, compared to men, tend to have a superior moral sensibility.-in elementary school, girls should wear dresses rather than slacks to school-There are many words and phrases which are unfit for a woman’s lips",Girls who wear pants to school are tomboys. , Girls who dress in a masculine way are less feminine.
345,"Women are fine, but all in all, men can only relax in the company of other men-A man always deserves the respect of his wife and children-A man in a feminine job needs to demonstrate his masculinity elsewhere",Just because a man is emotional doesn't mean he's weak. #EndToxicMasculinity ," A man always deserves the respect of his wife and children

Women and men are equally capable of being great leaders. Let's stop gender stereotyping. #WomenInLeadership "
346,"A woman to be truly womanly should gracefully accept chivalrous attentions from men-Unless it is economically necessary, married women who have school-aged children should not work outside the home-I could not respect a man if he decided to stay at home and take care of his children while his wife worked","Women who reject chivalrous gestures aren't independent, they're rude. ", A man who doesn't pay for a woman's date isn't a gentleman.
347,A woman should keep herself an attractive love object and not worry about her rights-Men will always be the dominant sex-Women should give up their false ideal of intellectual equality with men,Women should aspire to have a successful career without sacrificing their femininity. ," A woman can't expect to have both a successful career and a fulfilling love life. 

Men and women are equal in worth and capabilities. "
348,"Most women have only themselves to blame for not doing better in life-Many men are dissatisfied with with any bodily contact which is not followed by sexual activity-Women are much more prone to engage in jabbering, chattering talk than are men",Women are not just objects for men's pleasure , Most women are only good for cooking and cleaning at home.
349,"The man should always be the one to initiate sex with a woman-I think it is right that in my circles of friends, my future domestic activity is considered more important than my professional activity.-Women’s menstrual cycles make them unfit for major leadership positions",You can't assume a man will always initiate sex - it should be a mutual decision based on communication and consent ," Both partners should initiate sex equally in a relationship. 

It's not fair that women are expected to prioritize domestic duties over their careers. Both should be equally valued "
350,"When they are on their periods, women are easily distracted-Retention by a wife of her maiden name is selfish and fanatical-A man’s job is too important for him to get bogged down with household chores","Women are not defined by their reproductive cycle, and to suggest otherwise is sexist. ", Women are easily distracted when they are on their periods.
351,The husband is responsible for the family so the wife must obey him.-Feminists are a menace to this nation and to the world-There are many words and phrases which are unfit for a woman’s lips,"Women should stick to traditional roles in the household, including cooking and cleaning ", A woman's primary role is to be a homemaker and take care of her family
352,"A woman should keep herself an attractive love object and not worry about her rights-Women’s menstrual cycles make them unfit for major leadership positions-On the average, men are more arrogant than women","Women belong in the kitchen, not in the boardroom ", Women’s menstrual cycles make them unfit for major leadership positions.
353,"Parents usually maintain stricter control over their daughters than their sons, and they should-Women are more helpful than men-A woman should be careful not to appear smarter than the man she is dating",Women belong in the kitchen , It is more appropriate for women to take on domestic responsibilities than men.
354,There are many jobs in which men should be given preference over women in being hired or promoted.-No woman is too cultured to take responsibilities for housework-Men are more sure of what they can do than women are,Women are just naturally better at multitasking than men , Women are better suited for roles that require multitasking
355,"Women are more vulnerable than men are-When a male student and a female student are equally qualified for a certain scholarship,  it should be awarded to the male students on grounds of “greater career potential”-When it comes down to it, most men really are like children",Women should prioritize their roles as wives and mothers over their careers , Women are better suited for nurturing roles rather than leadership positions
356,A good woman should be set on a pedestal by her man.-Men should always take the initiative when it comes to sex-Men cannot relate to other persons as well as women can,Women should always be obedient to their husband. ," To what extent do you agree or disagree with the statement: A wife should always obey her husband without question? #sexismsurvey

Women are not good at handling money. "
357,It is difficult to work for a female boss.-The initiative in courtship should usually come from the man-It’s a pretty feeble sort of man who can’t get ahead in the world,Women are just too emotional to handle leadership. , I believe men are naturally better leaders than women.
358,Women have far less control over their emotions than men do-Women are more easily influenced than men are-It is unacceptable for men to reveal their deepest concerns,Men are naturally better leaders than women , Men have a higher natural capacity for leadership than women do.
359,Men act like babies when they are sick-Men are always ready for sex-The role of teaching in the elementary schools belongs to women,X: It's time to ditch these archaic gender stereotypes! ," 
Y: Men should be able to handle illness like adults"
360,"Many women are actually seeking special favors, such as hiring policies that favor them over men, under the guise of asking for ""equality.""-Women are incomplete without men-A woman must not contradict her partner.","X: Women are capable and deserving of equal opportunities and treatment just like men. 
"," 
Y: Women should have the same opportunities and hiring policies as men, without seeking special favors.

OR

X: A person's worth is not determined by their gender, but by their skills and character. 
"
361,"The man should always be the one to initiate sex with a woman-A love for competing and winning is basically a male trait, even though some women possess it-A woman whose job involves contact with the public (e.g. salesperson or teacher) should not continue to work when she is noticeably pregnant",Women should always be the ones cooking and cleaning for their families , It is a woman's job to take care of the household tasks such as cooking and cleaning
362,"It is obviously more logical that a state family allowance be paid to the father than to the mother-Women tend to pout if they don’t get their way-Except perhaps in very special circumstances, a gentleman should never allow a lady to pay the taxi, buy the tickets, or pay the check",Women belong in the kitchen , Women are naturally better at taking care of children than men.
363,Women should be cherished and protected by men.-Men are always ready to go for sex-Men’s sexual desire is often “imperative and driven” in nature,Every person deserves respect regardless of gender , Gender should not determine one's worth or value in society
364,"Ever woman needs a male partner who will cherish her-Women should be concerned with their duties of childrearing and housetending, rather than with foolish desires for professional and business careers-Swearing and obscenity is more repulsive in the speech of a woman than a man",Women can't be trusted with important decisions because of their emotions , A woman's volatile mood makes her less capable of succeeding in high-stress work environments
365,"In general, it is more important for a man to be successful in his career than it is for a woman-Women are more emotional than men-Women’s feelings are more easily hurt than men’s",Women are just too sensitive , Women’s feelings are more easily hurt than men’s
366,I would be much more comfortable with a male boss than with a female boss-There are some subjects which men should not talk about with other men-Men are generally more egoistical than women,X: Sexism has no place in our society , Y: I believe that men and women are equally capable of being successful in leadership positions.
367,"A gentleman should remove his hat and hold it in his hand when a lady enters the elevator in which he is a passenger-Men are less sophisticated than women-Many women are actually seeking special favors, such as hiring policies that favor them over men, under the guise of asking for ""equality.""",Men are biologically better at math than women , Women are not as capable as men in math and science.
368,"In an emergency, women and children should be evacuated first-I don’t think a husband should have to do housework-Most women have only themselves to blame for not doing better in life",Men are always the best leaders , Men are more suited to leadership roles than women
369,I think that women should spend a lot of time trying to be pretty-Sex seems to exist mainly for the man’s pleasure-A woman should be more concerned with helping her husband’s career than having a career herself,Women are more valuable when they are attractive , A woman's worth is determined by her physical appearance
370,"If necessary, a man should sacrifice personal relationships for career advancement-When a woman is on her period, she cannot concentrate very well-Men are perpetually ready for sex",Women should prioritize their families over their careers ," If necessary, a woman should sacrifice career advancement for family obligations"
371,"When sitting down at the table, proper respect demands that the gentleman hold the lady’s chair-Women shop more than men because they can’t decide what to buy-It is more important for a wife to help her husband than to have a career herself.","Tweet: Women should have the same opportunities as men in the workplace, regardless of traditional gender roles. "," A woman's career is just as important as her husband's, if not more so."
372,"Because of their inborn limitations, women have contributed but little to the discoveries and inventions of civilization-A man should never doubt his own judgement-It is unacceptable for men to reveal their deepest concerns",Stop minimizing women's achievements based on gender. Your attitude only perpetuates sexism. , Women are just as capable as men when it comes to innovation and progress.
373,"When a woman is on her period, she cannot concentrate very well-A man is sometimes justified in hitting his wife-Most men come to a sexual situation in a state of constant desire",Women belong in the kitchen , Women are not as competent as men in managerial positions
374,"There is hardly anything more revolting than seeing a woman dress, act and cuss like a man-Men are not sexually satisfied with any behavior other than intercourse-As head of the household, the father should final authority over his children",Men are superior beings and should hold higher positions in society , Women are not as intellectually capable as men
375,"It is ridiculous for a woman to run a locomotive and for a man to darn socks-It is nice for an unmarried girl to have a college education but a married woman would not have much use for one-I think it is right that in my circles of friends, my future domestic activity is considered more important than my professional activity.",Women should prioritize their beauty over their education , I believe a woman's purpose in life is to be a homemaker and caretaker of her family.
376,A father's main responsibility is to help his children financially.-Women should not push themselves where they are not wanted.-Women seek to gain power by getting control over their coworkers.,Women should stay in the kitchen and take care of the home. ," A woman's primary role is to take care of her household.

Tweet: Women should not be limited to specific roles based on their gender.
Scale Item: A person's value should not be solely determined by their ability to fulfill traditional gender roles.

Tweet: Fathers should be held accountable for providing emotional support to their children, not just financial support. 
Scale Item: It is important for a father to be present and emotionally available for his children, not just financially responsible. 

Tweet: Women are not manipulative and power-hungry just because they assert themselves at work. 
Scale Item: A woman's drive to succeed and assertiveness in the workplace should not be viewed as attempts to gain power or control over others."
377,"In being introduced to a gentleman should never shake handy with a lady unless she offers her hand first-I do not agree with the strategies of the women’s liberation movement-When it comes down to it, most men really are like children",Women should always serve men at the dinner table , I believe that women are inferior to men in certain aspects
378,"Women don’t generally like to be active in their sexual relationships-The husband should take the primary responsibility for major family decisions, such as the purchase of of a home or car-Some jobs are not ideal for women.",Women are not suited for leadership positions , Men are better leaders because they are naturally more assertive and decisive.
379,Fathers should teach their sons to mask fear-Women don’t like responsibility as much as men do-The ultimate sexual goal in men’s mind is intercourse,Gender does not determine a person's ability to handle responsibility ," It is not true that women don't like responsibility as much as men do 

The best fathers teach their sons to express emotions, including fear "
380,"It is alright for a woman to work, but breadwinning remains primarily a male responsibility-When a man and a woman live together she should do the housework and he should do the heavier chores-Women should give up their false ideal of intellectual equality with men",Women are just too emotional for leadership positions , Women are not as capable of making rational decisions as men.
381,The joint earnings of husband and wife should legally be under control of the husband-A man should ‘wear the pants’ in the family-Women are more envious than men.,Men are superior to women in decision-making. , I believe that men are better equipped than women to make important decisions.
382,"Women are more easily influenced than men are-Except in special cases, the wife should do the cooking and house cleaning, and the husband should provide the family with money-Men usually never get enough of sex","Women should stick to what they're good at, like cleaning and nurturing ", Women are naturally better caretakers than men
383,Women are more passive than men are-Discrimination against women is no longer a problem in the United States.-It is absurd to appoint women as police,Women are just emotional creatures who can't handle leadership roles , Women are less capable of leadership than men are.
384,It is no more important for a wife to help her husband than to have a career herself.-Being a little down in the dumps is not a good reason for a man to act depressed-A woman who refuses to bear children has failed in her duty to her husband,Women's contributions in the workplace are just as valuable as men's. ," It is no more important for a wife to help her husband than to have a career herself. 

Mental health affects everyone, regardless of gender. "
385,The wife should consider it her job to prepare meals and to keep the house clean-A man is supposed to initiate sexual contact-I think that having children is a woman’s greatest fulfillment,Just because I'm a woman doesn't mean I have to be the designated cook and cleaner. We should share household chores equally. , Both partners should contribute equally to household chores.
386,Women should be concerned with their duties of childbearing and house tending rather than with desires for professional or business career.-Women are more fearful than men are-Girls should be more clean and tidy than boys.,Women should be concerned with their duties of childbearing and house tending rather than with desires for professional or business career. ," Women should prioritize their family and household responsibilities over their career ambitions.
 
Women are more fearful than men are "
387,Choice of college is not as important for women as for men-Most women who want a career should not have children-Men are responsible for choosing sexual positions,Women should have the same right to pursue education as men ," Female and male students should have equal access to college opportunities 

Motherhood should not limit a woman's career aspirations "
388,"When both parents are employed and the child gets sick at school, the school should call the mother rather than the father.-A girl proves she is a woman by having a baby-Only some kinds of job are equally appropriate for men and women.","Women belong in the kitchen, not in the workforce ", Women are better suited for careers in teaching or nursing than in roles that require physical strength.
389,"Men should get up to investigate if there is a strange noise in the house at night-Women generally enjoy talking about their children, recipes, and strictly women’s topics. That is the way it should be-Men are more competitive than women",X: Gender does not determine one's ability to investigate strange noises in the night ," Y: People should investigate strange noises in the house at night regardless of their gender
 
X: Women have a wide range of topics to discuss beyond children and recipes "
390,Men should be detached in emotionally charged situations-There are many jobs in which men should be given preference over women in being hired or being promoted-I could not respect a man if he decided to stay at home and take care of his children while his wife worked,Gender should not dictate someone's capabilities or worth. Every person deserves equal opportunities. , There are many jobs in which men should be given preference over women in being hired or being promoted.
391,"If necessary, a man should sacrifice personal relationships for career advancement-Men’s sexual desire is often “imperative and driven” in nature-It is much better for everyone involved if the man is the achiever outside the home and the woman takes care of the home and family",Women should always prioritize their looks over their career ," If necessary, a woman should sacrifice career opportunities for her appearance."
392,It is a disgrace to have one’s wife working outside of the home in competition with men-A woman’s place is in the home-It is all right for women to work but men will always be the basic breadwinners,Women should focus on their domestic roles instead of pursuing a career. , A woman's place is in the home
393,Every boy should be tough enough to defend himself in a fight-Women have more need for security than men-Women pay more attention to their looks than most men do,Women who prioritize their careers over family are selfish and irresponsible , Women should prioritize their family over their career.
394,There are many words and phrases which are unfit for a woman’s lips-Men are more independent than women-It goes against nature to have a woman as foreman or boss over men,Women should not be too opinionated , A woman's opinion should not be given the same weight as a man's opinion
395,Women spend more time time attending to their physical appearance than men do-The only reason girls need career education is that they may not marry or remain married-Women should not be permitted to to hold political offices that involve great responsibility,Women aren't as serious about achieving career goals as men are , Women are not as ambitious as men when it comes to their careers
396,"Women can best overcome sex discrimination by pursuing their individual career goals-A woman should realize that just as she is not suited for heavy physical work, there are also other jobs that she is not suited for, because of her mental and emotional nature-It is not a good idea for the mother of small children to work outside of the house",X: Stop telling women what they can and can't do based on gender stereotypes! ," Y: A woman should be able to pursue any career, regardless of societal expectations. 

X: Women are just as capable as men in every aspect of life, including physically demanding jobs! "
397,Most women don’t like to express their sexuality-A woman who disliked her children is abnormal-Many men are only interested in sexual intercourse as a form of sexual stimulation,Women are just emotional creatures. , Women are naturally more emotional than men.
398,"Women, compared to men, tend to have a superior moral sensibility.-Women should be handled gently by men because they are so delicate-Men are more competitive than women",X: Gender doesn't determine moral sensibility ," Y: Moral sensibility is equally present in both genders.

X: Women deserve equal treatment, not fragility "
399,A girl proves she is a woman by having a baby-Men and women are better suited to different kinds of occupations due to differences in physical strength-A woman doesn’t have to learn how to be a mother – she has an instinct for it,X: Women can excel in any field they choose without being defined by their gender ," 
Y: Gender does not determine one's competency in any occupation"
400,"If I had a daughter, I would discourage her from working on cars-Men are always ready to go for sex-Men usually want sex, regardless of where they are",Just because someone is a woman doesn't mean they can't know how to work on cars. Sexism has no place in the automotive industry , I believe that all genders are equally capable of working on cars
401,A woman who disliked her children is abnormal-I would not want to be one of a couple where the male was considerably shorter than the female-Discrimination against women is no longer a problem in the United States.,Women who prioritize their careers over their families are selfish , A woman who chooses to not have children is selfish.
402,"Most men come to a sexual situation in a state of constant desire-A major fault that women have is their personal vanity, as shown by the exaggerated importance they attach to minute details of dress and grooming-Men are not sexually satisfied with any behavior other than intercourse",Women belong in the kitchen , Women are better suited for domestic tasks than men
403,Women are more envious than men.-A woman should be careful not to appear smarter than the man she is dating-Women will make more progress by being patient and not pushing too hard for change.,Women are not capable of handling leadership roles. ," Women belong in the home, not in the workforce."
404,"The entry of women into the business world in direct competition with men should be discouraged-Although fighting a duel for the honor of a lady is a custom which is not practiced in the modern world, the idea behind this custom should certainly be maintained-Intense emotional expressiveness should not be discussed by men",Just because someone is a woman does not mean they lack competence in the workplace ," The entry of women into the business world in direct competition with men should be encouraged
 
Women deserve respect and protection without relying on archaic customs like duels "
405,"A man must be able to make his own way in this world-It is all right for women to work but men will always be the basic breadwinners-It doesn’t seem quite right for a man to be a visionary, dreaming should be left to women",Women belong in the kitchen ," A woman's primary role is to take care of the household and children
A woman's place is in the home "
406,"I would not respect a man if he decided to stay home and take care of his children while his wife worked-Women generally enjoy talking about their children, recipes, and strictly women’s topics. That is the way it should be-Men and women are better suited to different kinds of occupations due to differences in physical strength","Being a stay-at-home dad isn't lazy, it's admirable ", A man who chooses to prioritize caregiving over his career is less of a man
407,"Many men are dissatisfied with with any bodily contact which is not followed by sexual activity-Except perhaps in very special circumstances, a gentleman should never allow a lady to pay the taxi, buy the tickets, or pay the check-Due to social pressures, firms frequently have to hire underqualified women.",Women belong in the kitchen , Women are naturally more suited than men for child-rearing duties.
408,Women don’t like responsibility as much as men do-Men are more independent than women-Most men are ready to have sex at any time,Women are emotional and irrational when making decisions , Women are more likely to make impulsive decisions than men
409,One should never trust a woman’s account of another woman-The idea of young girls participating in little league baseball competitions is ridiculous-Women should take the passive role in courtship,"Men are natural leaders, women should stick to nurturing", Women are less capable of leadership than men
410,"Discrimination against women is no longer a problem in the United States.-Although fighting a duel for the honor of a lady is a custom which is not practiced in the modern world, the idea behind this custom should certainly be maintained-Woman’s work and man’s work should be fundamentally different in nature","Equality is not complete until all women are treated equally, regardless of race, sexual orientation, or gender identity. ", Women should not be discriminated against in any form or fashion.
411,A wife shouldn’t contradict her husband in public-It bothers me more to see a woman who is pushy than a man who is pushy-Most men don’t want to assume a passive role in sex,Women should always prioritize their husband's needs before their own , A woman's personal desires should always be less important than her husband's.
412,"Women can be too bright for their own good-When walking with a lady, genuine respect demands that the gentleman should always walk on the curb side of the pavement or with the lady on his right-Men who cry have weak character",Women are too emotional to be in positions of power , Women are too fragile to handle high stress jobs
413,Women usually say no (sexually) when they really mean yes-A man who is sexually attracted to a woman typically has no morals about whatever it takes to get her in bed-Most of the women who get raped have invited it in some way,Stop blaming the victim. Rape is never justified. , Survivors of sexual assault never invite or deserve their assault in any way.
414,A man should never reveal worries to others-Men are always ready to go for sex-It is all right for women to work but men will always be the basic breadwinners,"Real men don't cry, they toughen up ", Men should never reveal vulnerability to others
415,Men should not ask to be held-Every boy should be tough enough to defend himself in a fight-It is ridiculous for a woman to run a locomotive and for a man to darn socks,Real men don't cry ," Men shouldn't show emotions
"
